"INJE1:Приёмистость воды, ст.м3/сут","INJE2:Приёмистость воды, ст.м3/сут","INJE3:Приёмистость воды, ст.м3/сут","INJE4:Приёмистость воды, ст.м3/сут","INJE1:WBP9, Бар","INJE2:WBP9, Бар","INJE3:WBP9, Бар","INJE4:WBP9, Бар","INJE1:Забойное давление, Бар","INJE2:Забойное давление, Бар","INJE3:Забойное давление, Бар","INJE4:Забойное давление, Бар"
2539.71807755601,2228.64312310937,1653.38574024633,2248.54152868732,202.108961227204,211.010343103121,242.349367251387,214.766377396098,350.0,350.0,350.0,350.0
2544.57078918939,2235.32189735223,1686.79551036934,2258.19674395503,201.829089285339,210.599202134665,241.279754900113,214.214639847881,350.0,350.0,350.0,350.0
2549.37991813913,2242.01170935418,1720.55445193437,2267.52311942414,201.551707771928,210.187209684053,240.149869854111,213.681323260496,350.0,350.0,350.0,350.0
2554.06615345402,2248.34231180689,1753.05917124273,2276.17360134572,201.281112900313,209.797045722015,238.985822933177,213.185174004609,350.0,350.0,350.0,350.0
2558.91755900244,2254.76843069824,1786.71244421224,2284.97341043113,201.000729588498,209.400714372904,237.71872920554,212.678732306088,350.0,350.0,350.0,350.0
2563.8298650322,2261.16814147594,1818.13594815985,2293.7323199982,200.716584185264,209.005693578459,236.520986758265,212.172337484592,350.0,350.0,350.0,350.0
2568.20221876772,2266.75757143712,1845.5047035529,2301.48595694729,200.463514020482,208.660504780305,235.444835437491,211.722563025361,350.0,350.0,350.0,350.0
2573.02175855861,2272.82688164222,1875.72421615802,2310.04415942511,200.18443991805,208.285558705064,234.228187927868,211.225010959983,350.0,350.0,350.0,350.0
2577.67131269049,2278.60715122959,1904.21635606089,2318.10207264393,199.915097723101,207.928308712585,233.043795474544,210.75548792731,350.0,350.0,350.0,350.0
2582.36554755327,2284.42159161689,1932.57807732796,2326.18876983879,199.643091885733,207.568807904335,231.845072996034,210.283504005572,350.0,350.0,350.0,350.0
2586.92937221821,2290.00114064655,1959.22264130277,2334.19802302914,199.378453492933,207.223555498089,230.688766697667,209.814265286782,350.0,350.0,350.0,350.0
2591.56222710436,2295.71057242291,1984.97548396948,2342.47655489106,199.1097664028,206.87009267166,229.556579190755,209.3280446965,350.0,350.0,350.0,350.0
2596.08457802372,2301.27556621748,2009.65979601757,2350.43071823099,198.847458930262,206.525511784032,228.46725740125,208.860754668298,350.0,350.0,350.0,350.0
2600.35088276349,2306.50453047258,2031.80375164649,2357.80634111557,198.599969718443,206.201689780875,227.487037292309,208.427147758609,350.0,350.0,350.0,350.0
2604.59573560728,2311.67943697638,2052.77526980136,2365.00287552936,198.353677166171,205.881137003227,226.545628500096,208.003647764106,350.0,350.0,350.0,350.0
2608.62825423254,2316.62595420125,2072.91074965398,2371.81473331001,198.119686663658,205.574660906835,225.627388918129,207.602562834144,350.0,350.0,350.0,350.0
